data,pais,estado,populacao,confirmados,confirmados_1d,confirmados_media_movel_7d,taxa_14d_confirmados_media_movel_7d,tendencia_confirmados,mortes,mortes_1d,mortes_media_movel_7d,taxa_14d_mortes_media_movel_7d,tendencia_mortes,mes,ano
2021-07-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-07-31,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-07,2021
2021-08-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-06,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-07,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-08,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-09,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-10,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-11,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-12,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-13,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-14,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-15,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-16,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-17,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-18,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-19,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-20,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-21,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-22,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-23,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-24,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-25,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-26,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-27,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-28,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-29,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-30,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-08-31,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-08,2021
2021-09-01,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-09,2021
2021-09-02,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-09,2021
2021-09-03,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-09,2021
2021-09-04,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-09,2021
2021-09-05,Brazil,Acre,881935.0,90250,0.0,0.0,,,1854,0.0,0.0,,,2021-09,2021
